STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DEWP,DEWP_ATTRIBUTES,FRSHTT,FRSHTT_ATTRIBUTES,GUST,GUST_ATTRIBUTES,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,MXSPD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,SNDP_ATTRIBUTES,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/22/1981,45.7,5,0,,999.9,,78.8,*,44.6, ,3.9,,0,G,9999.9,0,999.9,,876.8,4,60.1,5,8.9,5,1.4,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/23/1981,46.1,6,0,,999.9,,78.8, ,46.4, ,9.9,,0,G,9999.9,0,999.9,,877.8,6,66.2,6,11.9,6,5.9,6
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/25/1981,43.2,5,0,,999.9,,75.2, ,42.8, ,10.9,,0,G,9999.9,0,999.9,,878.8,5,62.2,5,13,5,3.9,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/26/1981,40.5,4,0,,999.9,,77, ,41, ,5.8,,0,G,9999.9,0,999.9,,877.5,4,67.1,4,13.2,4,1.9,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/27/1981,42.1,5,0,,999.9,,78.8, ,41, ,4.9,,0,G,9999.9,0,999.9,,875.2,5,67.3,5,15,5,1.9,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/30/1981,36.3,5,0,,999.9,,80.6, ,42.8, ,9.9,,0,G,9999.9,0,999.9,,876.4,5,69.8,5,7.8,5,3.7,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/7/1981,42.8,4,0,,999.9,,80.6, ,41, ,3.9,,0,G,9999.9,0,999.9,,876.7,4,70.3,4,8.5,4,1,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/10/1981,47.3,8,0,,999.9,,80.6, ,48.2, ,8.9,,0,G,9999.9,0,999.9,,877.3,8,64.6,8,12.6,8,3.4,8
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/11/1981,44.6,4,0,,999.9,,77,*,46.4,*,5.8,,0,I,9999.9,0,999.9,,875.7,4,65.8,4,14,4,3.4,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/12/1981,43.9,5,0,,999.9,,80.6, ,42.8, ,5.8,,0,G,9999.9,0,999.9,,875.8,5,66.9,5,6.8,5,2.9,5
